Title,gener
Uncommon Wisdom,"Capra, Fritjof nonfiction Fontana"
One,"Bach, Richard nonfiction Dell"
To Sir With Love,Braithwaite fiction Penguin
Fundamentals of Wavelets,"Goswami, Jaideva tech, signal_processing Wiley"
Data Smart,"Foreman, John tech, data_science Wiley"
God Created the Integers,"Hawking, Stephen tech, mathematics Penguin"
Superfreakonomics,"Dubner, Stephen science, economics HarperCollins"
Orientalism,"Said, Edward nonfiction, history Penguin"
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir tech, data_science Springer"
Integration of the Indian States,"Menon, V P nonfiction, history Orient Blackswan"
"Drunkard's Walk, The","Mlodinow, Leonard science, mathematics Penguin"
Image Processing & Mathematical Morphology,"Shih, Frank tech, signal_processing CRC"
How to Think Like Sherlock Holmes,"Konnikova, Maria nonfiction, psychology Penguin"
Data Scientists at Work,"Sebastian Gutierrez tech, data_science Apress"
Slaughterhouse Five,"Vonnegut, Kurt fiction, classic Random House"
Birth of a Theorem,"Villani, Cedric science, mathematics Bodley Head"
Structure & Interpretation of Computer Programs,"Sussman, Gerald tech, computer_science MIT Press"
"Age of Wrath, The","Eraly, Abraham nonfiction, history Penguin"
"Trial, The","Kafka, Frank fiction, classic Random House"
Statistical Decision Theory',"Pratt, John tech, data_science MIT Press"
Data Mining Handbook,"Nisbet, Robert tech, data_science Apress"
"New Machiavelli, The","Wells, H. G. fiction, novel Penguin"
Physics & Philosophy,"Heisenberg, Werner philosophy, science Penguin"
Making Software,"Oram, Andy tech, computer_science O'Reilly"
"Analysis, Vol I","Tao, Terence tech, mathematics HBA"
Machine Learning for Hackers,"Conway, Drew tech, data_science O'Reilly"
"Signal and the Noise, The","Silver, Nate tech, data_science Penguin"
Python for Data Analysis,"McKinney, Wes tech, data_science O'Reilly"
Introduction to Algorithms,"Cormen, Thomas tech, computer_science MIT Press"
"Beautiful and the Damned, The","Deb, Siddhartha nonfiction, history Penguin"
"Outsider, The","Camus, Albert fiction, classic Penguin"
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan fiction, classic Random House"
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan fiction, classic Random House"
"Wealth of Nations, The","Smith, Adam science, economics Random House"
"Pillars of the Earth, The","Follett, Ken fiction, novel Random House"
Mein Kampf,"Hitler, Adolf nonfiction, autobiography Rupa"
"Tao of Physics, The","Capra, Fritjof science, physics Penguin"
Surely You're Joking Mr Feynman,"Feynman, Richard science, physics Random House"
"Farewell to Arms, A","Hemingway, Ernest fiction, classic Rupa"
"Veteran, The","Forsyth, Frederick fiction, novel Transworld"
False Impressions,"Archer, Jeffery fiction, novel Pan"
"Last Lecture, The","Pausch, Randy nonfiction, autobiography Hyperion"
Return of the Primitive,"Rand, Ayn philosophy, objectivism Penguin"
Jurassic Park,"Crichton, Michael fiction, novel Random House"
"Russian Journal, A","Steinbeck, John nonfiction, history Penguin"
Tales of Mystery and Imagination,"Poe, Edgar Allen fiction, classic HarperCollins"
Freakonomics,"Dubner, Stephen science, economics Penguin"
"Hidden Connections, The","Capra, Fritjof science, physics HarperCollins"
"Story of Philosophy, The","Durant, Will philosophy, history Pocket"
Asami Asami,"Deshpande, P L fiction, novel Mauj"
Journal of a Novel,"Steinbeck, John fiction, classic Penguin"
Once There Was a War,"Steinbeck, John nonfiction, history Penguin"
"Moon is Down, The","Steinbeck, John fiction, classic Penguin"
"Brethren, The","Grisham, John fiction, novel Random House"
In a Free State,"Naipaul, V. S. fiction, novel Rupa"
Catch 22,"Heller, Joseph fiction, classic Random House"
"Complete Mastermind, The","BBC nonfiction, trivia BBC"
Dylan on Dylan,"Dylan, Bob nonfiction, autobiography Random House"
Soft Computing & Intelligent Systems,"Gupta, Madan tech, data_science Elsevier"
Textbook of Economic Theory,"Stonier, Alfred tech, economics Pearson"
Econometric Analysis,"Greene, W. H. tech, economics Pearson"
Learning OpenCV,"Bradsky, Gary tech, signal_processing O'Reilly"
Data Structures Using C & C++,"Tanenbaum, Andrew tech, computer_science Prentice Hall"
"Computer Vision, A Modern Approach","Forsyth, David tech, signal_processing Pearson"
Principles of Communication Systems,"Taub, Schilling tech, signal_processing TMH"
Let Us C,"Kanetkar, Yashwant tech, computer_science Prentice Hall"
"Amulet of Samarkand, The","Stroud, Jonathan fiction, novel Random House"
Crime and Punishment,"Dostoevsky, Fyodor fiction, classic Penguin"
Angels & Demons,"Brown, Dan fiction, novel Random House"
"Argumentative Indian, The","Sen, Amartya nonfiction, history Picador"
Sea of Poppies,"Ghosh, Amitav fiction, novel Penguin"
"Idea of Justice, The","Sen, Amartya philosophy, economics Penguin"
"Raisin in the Sun, A","Hansberry, Lorraine fiction, novel Penguin"
All the President's Men,"Woodward, Bob nonfiction, history Random House"
"Prisoner of Birth, A","Archer, Jeffery fiction, novel Pan"
Scoop!,"Nayar, Kuldip nonfiction, history HarperCollins"
Ahe Manohar Tari,"Deshpande, Sunita nonfiction, autobiography Mauj"
"Last Mughal, The","Dalrymple, William nonfiction, history Penguin"
"Social Choice & Welfare, Vol 39 No. 1","Various tech, economics Springer"
Radiowaril Bhashane & Shrutika,"Deshpande, P L nonfiction, misc Mauj"
Gun Gayin Awadi,"Deshpande, P L nonfiction, misc Mauj"
Aghal Paghal,"Deshpande, P L nonfiction, misc Mauj"
Maqta-e-Ghalib,"Garg, Sanjay nonfiction, poetry Mauj"
Manasa,"Kale, V P nonfiction, misc Mauj"
India from Midnight to Milennium,"Tharoor, Shashi nonfiction, history Penguin"
"Great Indian Novel, The","Tharoor, Shashi fiction, novel Penguin"
O Jerusalem!,"Lapierre, Dominique nonfiction, history vikas"
"City of Joy, The","Lapierre, Dominique fiction, novel vikas"
Freedom at Midnight,"Lapierre, Dominique nonfiction, history vikas"
"Winter of Our Discontent, The","Steinbeck, John fiction, classic Penguin"
On Education,"Russell, Bertrand philosophy, education Routledge"
Free Will,"Harris, Sam nonfiction, psychology FreePress"
Bookless in Baghdad,"Tharoor, Shashi nonfiction, history Penguin"
"Theory of Everything, The","Hawking, Stephen science, physics Jaico"
New Markets & Other Essays,"Drucker, Peter science, economics Penguin"
Electric Universe,"Bodanis, David science, physics Penguin"
"Hunchback of Notre Dame, The","Hugo, Victor fiction, classic Random House"
Burning Bright,"Steinbeck, John fiction, classic Penguin"
"Age of Discontuinity, The","Drucker, Peter nonfiction, economics Random House"
Doctor in the Nude,"Gordon, Richard fiction, novel Penguin"
Down and Out in Paris & London,"Orwell, George nonfiction, autobiography Penguin"
Identity & Violence,"Sen, Amartya philosophy, philosophy Penguin"
Beyond the Three Seas,"Dalrymple, William nonfiction, history Random House"
"Maugham's Collected Short Stories, Vol 3","Maugham, William S fiction, classic Vintage"
Ashenden of The British Agent,"Maugham, William S fiction, classic Vintage"
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert philosophy, autobiography Vintage"
"Great War for Civilization, The","Fisk, Robert nonfiction, history HarperCollins"
We the Living,"Rand, Ayn fiction, novel Penguin"
"Artist and the Mathematician, The","Aczel, Amir science, mathematics HighStakes"
History of Western Philosophy,"Russell, Bertrand philosophy, philosophy Routledge"
Rationality & Freedom,"Sen, Amartya science, economics Springer"
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel nonfiction, history Simon&Schuster"
Uncommon Wisdom,"Capra, Fritjof nonfiction, anthology Fontana"
One,"Bach, Richard nonfiction, autobiography Dell"
To Sir With Love,"Braithwaite fiction, classic Penguin"
